service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,feed_publisher_name,feed_publisher_url,feed_lang,feed_start_date,feed_end_date
273310_7952,1,1,1,1,1,0,0,20240902,20241231,,,,,
273310_7953,0,0,0,0,0,1,0,20240902,20241231,,,,,
273310_7954,0,0,0,0,0,0,1,20240902,20241231,,,,,
273465_7952,1,1,1,1,1,0,0,20240902,20241231,,,,,
273465_7953,0,0,0,0,0,1,0,20240902,20241231,,,,,
273465_7954,0,0,0,0,0,0,1,20240902,20241231,,,,,
265605_7952,1,1,1,1,1,0,0,20240902,20241231,,,,,
265605_7953,0,0,0,0,0,1,0,20240902,20241231,,,,,
265605_7954,0,0,0,0,0,0,1,20240902,20241231,,,,,
273311_7952,1,1,1,1,1,0,0,20240902,20241231,,,,,
273311_7953,0,0,0,0,0,1,0,20240902,20241231,,,,,
273311_7954,0,0,0,0,0,0,1,20240902,20241231,,,,,
269941_7952,1,1,1,1,1,0,0,20240902,20241231,,,,,
269941_7953,0,0,0,0,0,1,0,20240902,20241231,,,,,
269941_7954,0,0,0,0,0,0,1,20240902,20241231,,,,,
261906_7952,1,1,1,1,1,0,0,20240902,20241231,,,,,
261906_7953,0,0,0,0,0,1,0,20240902,20241231,,,,,
261906_7954,0,0,0,0,0,0,1,20240902,20241231,,,,,
261920_7952,1,1,1,1,1,0,0,20240902,20241231,,,,,
261920_7953,0,0,0,0,0,1,0,20240902,20241231,,,,,
261920_7954,0,0,0,0,0,0,1,20240902,20241231,,,,,
273300_7952,1,1,1,1,1,0,0,20240902,20241231,,,,,
273300_7953,0,0,0,0,0,1,0,20240902,20241231,,,,,
239858_7952,1,1,1,1,1,0,0,20240902,20241231,,,,,
239858_7953,0,0,0,0,0,1,0,20240902,20241231,,,,,
239858_7954,0,0,0,0,0,0,1,20240902,20241231,,,,,
273303_7952,1,1,1,1,1,0,0,20240902,20241231,,,,,
273303_7953,0,0,0,0,0,1,0,20240902,20241231,,,,,
269938_7952,1,1,1,1,1,0,0,20240902,20241231,,,,,
269938_7953,0,0,0,0,0,1,0,20240902,20241231,,,,,
269938_7954,0,0,0,0,0,0,1,20240902,20241231,,,,,
234483_7952,1,1,1,1,1,0,0,20240902,20241231,,,,,
234483_7953,0,0,0,0,0,1,0,20240902,20241231,,,,,
234483_7954,0,0,0,0,0,0,1,20240902,20241231,,,,,
273547_7952,1,1,1,1,1,0,0,20240902,20241231,,,,,
273547_7953,0,0,0,0,0,1,0,20240902,20241231,,,,,
273547_7954,0,0,0,0,0,0,1,20240902,20241231,,,,,
273562_7952,1,1,1,1,1,0,0,20240902,20241231,,,,,
273562_7953,0,0,0,0,0,1,0,20240902,20241231,,,,,
273562_7954,0,0,0,0,0,0,1,20240902,20241231,,,,,
265602_7952,1,1,1,1,1,0,0,20240902,20241231,,,,,
265602_7953,0,0,0,0,0,1,0,20240902,20241231,,,,,
265602_7954,0,0,0,0,0,0,1,20240902,20241231,,,,,
263076_7952,1,1,1,1,1,0,0,20240902,20241231,,,,,
263076_7953,0,0,0,0,0,1,0,20240902,20241231,,,,,
263076_7954,0,0,0,0,0,0,1,20240902,20241231,,,,,
273551_7952,1,1,1,1,1,0,0,20240902,20241231,,,,,
273551_7953,0,0,0,0,0,1,0,20240902,20241231,,,,,
273551_7954,0,0,0,0,0,0,1,20240902,20241231,,,,,
239855_7952,1,1,1,1,1,0,0,20240902,20241231,,,,,
239855_7953,0,0,0,0,0,1,0,20240902,20241231,,,,,
239855_7954,0,0,0,0,0,0,1,20240902,20241231,,,,,
248003_7952,1,1,1,1,1,0,0,20240902,20241231,,,,,
248003_7953,0,0,0,0,0,1,0,20240902,20241231,,,,,
248003_7954,0,0,0,0,0,0,1,20240902,20241231,,,,,
273312_7952,1,1,1,1,1,0,0,20240902,20241231,,,,,
273312_7953,0,0,0,0,0,1,0,20240902,20241231,,,,,
273312_7954,0,0,0,0,0,0,1,20240902,20241231,,,,,
273560_7952,1,1,1,1,1,0,0,20240902,20241231,,,,,
273560_7953,0,0,0,0,0,1,0,20240902,20241231,,,,,
273560_7954,0,0,0,0,0,0,1,20240902,20241231,,,,,
269939_7952,1,1,1,1,1,0,0,20240902,20241231,,,,,
269939_7953,0,0,0,0,0,1,0,20240902,20241231,,,,,
269939_7954,0,0,0,0,0,0,1,20240902,20241231,,,,,
245259_7952,1,1,1,1,1,0,0,20240902,20241231,,,,,
245259_7953,0,0,0,0,0,1,0,20240902,20241231,,,,,
245259_7954,0,0,0,0,0,0,1,20240902,20241231,,,,,
273545_7952,1,1,1,1,1,0,0,20240902,20241231,,,,,
273545_7953,0,0,0,0,0,1,0,20240902,20241231,,,,,
273545_7954,0,0,0,0,0,0,1,20240902,20241231,,,,,
273552_7952,1,1,1,1,1,0,0,20240902,20241231,,,,,
273552_7953,0,0,0,0,0,1,0,20240902,20241231,,,,,
273552_7954,0,0,0,0,0,0,1,20240902,20241231,,,,,
273546_7952,1,1,1,1,1,0,0,20240902,20241231,,,,,
273546_7953,0,0,0,0,0,1,0,20240902,20241231,,,,,
273546_7954,0,0,0,0,0,0,1,20240902,20241231,,,,,
273548_7952,1,1,1,1,1,0,0,20240902,20241231,,,,,
273548_7953,0,0,0,0,0,1,0,20240902,20241231,,,,,
273548_7954,0,0,0,0,0,0,1,20240902,20241231,,,,,
273556_7952,1,1,1,1,1,0,0,20240902,20241231,,,,,
273556_7953,0,0,0,0,0,1,0,20240902,20241231,,,,,
273556_7954,0,0,0,0,0,0,1,20240902,20241231,,,,,
273554_7952,1,1,1,1,1,0,0,20240902,20241231,,,,,
273554_7953,0,0,0,0,0,1,0,20240902,20241231,,,,,
273554_7954,0,0,0,0,0,0,1,20240902,20241231,,,,,
273557_7952,1,1,1,1,1,0,0,20240902,20241231,,,,,
273557_7953,0,0,0,0,0,1,0,20240902,20241231,,,,,
273557_7954,0,0,0,0,0,0,1,20240902,20241231,,,,,
273558_7952,1,1,1,1,1,0,0,20240902,20241231,,,,,
273559_7952,1,1,1,1,1,0,0,20240902,20241231,,,,,
273559_7953,0,0,0,0,0,1,0,20240902,20241231,,,,,
273559_7954,0,0,0,0,0,0,1,20240902,20241231,,,,,
272830_7952,1,1,1,1,1,0,0,20240902,20240905,,,,,
272829_7952,1,1,1,1,1,0,0,20240906,20240906,,,,,
272827_7952,1,1,1,1,1,0,0,20240909,20240911,,,,,
272828_7953,0,0,0,0,0,1,0,20240907,20240907,,,,,
273221_7954,0,0,0,0,0,0,1,20240908,20240908,,,,,
273223_7954,0,0,0,0,0,0,1,20240912,20240923,,,,,
273550_7952,1,1,1,1,1,0,0,20240902,20241231,,,,,
273550_7953,0,0,0,0,0,1,0,20240902,20241231,,,,,
273550_7954,0,0,0,0,0,0,1,20240902,20241231,,,,,
263077_7952,1,1,1,1,1,0,0,20240902,20241231,,,,,
263077_7953,0,0,0,0,0,1,0,20240902,20241231,,,,,
263077_7954,0,0,0,0,0,0,1,20240902,20241231,,,,,
273304_7952,1,1,1,1,1,0,0,20240902,20241231,,,,,
273304_7953,0,0,0,0,0,1,0,20240902,20241231,,,,,
273304_7954,0,0,0,0,0,0,1,20240902,20241231,,,,,
257941_7952,1,1,1,1,1,0,0,20240902,20241231,,,,,
257941_7953,0,0,0,0,0,1,0,20240902,20241231,,,,,
257941_7954,0,0,0,0,0,0,1,20240902,20241231,,,,,
273549_7952,1,1,1,1,1,0,0,20240902,20241231,,,,,
273549_7953,0,0,0,0,0,1,0,20240902,20241231,,,,,
273549_7954,0,0,0,0,0,0,1,20240902,20241231,,,,,
272598_7952,1,1,1,1,1,0,0,20240902,20241231,,,,,
272598_7953,0,0,0,0,0,1,0,20240902,20241231,,,,,
272598_7954,0,0,0,0,0,0,1,20240902,20241231,,,,,
273561_7952,1,1,1,1,1,0,0,20240902,20241231,,,,,
273561_7953,0,0,0,0,0,1,0,20240902,20241231,,,,,
273561_7954,0,0,0,0,0,0,1,20240902,20241231,,,,,
273553_7952,1,1,1,1,1,0,0,20240902,20241231,,,,,
273553_7953,0,0,0,0,0,1,0,20240902,20241231,,,,,
273553_7954,0,0,0,0,0,0,1,20240902,20241231,,,,,
274388_7952,1,1,1,1,1,0,0,20240902,20241231,,,,,
274388_7953,0,0,0,0,0,1,0,20240902,20241231,,,,,
274388_7954,0,0,0,0,0,0,1,20240902,20241231,,,,,
273555_7952,1,1,1,1,1,0,0,20240902,20241231,,,,,
273555_7953,0,0,0,0,0,1,0,20240902,20241231,,,,,
273555_7954,0,0,0,0,0,0,1,20240902,20241231,,,,,
254535_7953,0,0,0,0,0,1,0,20240902,20241231,,,,,
254535_7954,0,0,0,0,0,0,1,20240902,20241231,,,,,
260228_7952,1,1,1,1,1,0,0,20240902,20241231,,,,,
260228_7953,0,0,0,0,0,1,0,20240902,20241231,,,,,
260228_7954,0,0,0,0,0,0,1,20240902,20241231,,,,,
