service_id,date,exception_type
273310_7952,20241225,2
273310_7952,20241226,2
273310_7952,20241101,2
273310_7952,20241111,2
273310_7954,20241225,1
273310_7954,20241226,1
273310_7954,20241101,1
273310_7954,20241111,1
273465_7952,20241225,2
273465_7952,20241226,2
273465_7952,20241101,2
273465_7952,20241111,2
273465_7954,20241225,1
273465_7954,20241226,1
273465_7954,20241101,1
273465_7954,20241111,1
265605_7952,20241225,2
265605_7952,20241226,2
265605_7952,20241101,2
265605_7952,20241111,2
265605_7954,20241225,1
265605_7954,20241226,1
265605_7954,20241101,1
265605_7954,20241111,1
273311_7952,20241225,2
273311_7952,20241226,2
273311_7952,20241101,2
273311_7952,20241111,2
273311_7954,20241225,1
273311_7954,20241226,1
273311_7954,20241101,1
273311_7954,20241111,1
269941_7952,20241225,2
269941_7952,20241226,2
269941_7952,20241101,2
269941_7952,20241111,2
269941_7954,20241225,1
269941_7954,20241226,1
269941_7954,20241101,1
269941_7954,20241111,1
261906_7952,20241225,2
261906_7952,20241226,2
261906_7952,20241101,2
261906_7952,20241111,2
261906_7954,20241225,1
261906_7954,20241226,1
261906_7954,20241101,1
261906_7954,20241111,1
261920_7952,20241225,2
261920_7952,20241226,2
261920_7952,20241101,2
261920_7952,20241111,2
261920_7954,20241225,1
261920_7954,20241226,1
261920_7954,20241101,1
261920_7954,20241111,1
273300_7952,20241225,2
273300_7952,20241226,2
273300_7952,20241101,2
273300_7952,20241111,2
239858_7952,20241225,2
239858_7952,20241226,2
239858_7952,20241101,2
239858_7952,20241111,2
239858_7954,20241225,1
239858_7954,20241226,1
239858_7954,20241101,1
239858_7954,20241111,1
273303_7952,20241225,2
273303_7952,20241226,2
273303_7952,20241101,2
273303_7952,20241111,2
269938_7952,20241225,2
269938_7952,20241226,2
269938_7952,20241101,2
269938_7952,20241111,2
269938_7954,20241225,1
269938_7954,20241226,1
269938_7954,20241101,1
269938_7954,20241111,1
234483_7952,20241225,2
234483_7952,20241226,2
234483_7952,20241101,2
234483_7952,20241111,2
234483_7954,20241225,1
234483_7954,20241226,1
234483_7954,20241101,1
234483_7954,20241111,1
234483_104414,20250101,1
273547_7952,20241225,2
273547_7952,20241226,2
273547_7952,20241101,2
273547_7952,20241111,2
273547_7954,20241225,1
273547_7954,20241226,1
273547_7954,20241101,1
273547_7954,20241111,1
273562_7952,20241225,2
273562_7952,20241226,2
273562_7952,20241101,2
273562_7952,20241111,2
273562_7954,20241225,1
273562_7954,20241226,1
273562_7954,20241101,1
273562_7954,20241111,1
265602_7952,20241225,2
265602_7952,20241226,2
265602_7952,20241101,2
265602_7952,20241111,2
265602_7954,20241225,1
265602_7954,20241226,1
265602_7954,20241101,1
265602_7954,20241111,1
263076_7952,20241225,2
263076_7952,20241226,2
263076_7952,20241101,2
263076_7952,20241111,2
263076_7954,20241225,1
263076_7954,20241226,1
263076_7954,20241101,1
263076_7954,20241111,1
273551_7952,20241225,2
273551_7952,20241226,2
273551_7952,20241101,2
273551_7952,20241111,2
273551_7954,20241225,1
273551_7954,20241226,1
273551_7954,20241101,1
273551_7954,20241111,1
239855_7952,20241225,2
239855_7952,20241226,2
239855_7952,20241101,2
239855_7952,20241111,2
239855_7954,20241225,1
239855_7954,20241226,1
239855_7954,20241101,1
239855_7954,20241111,1
248003_7952,20241225,2
248003_7952,20241226,2
248003_7952,20241101,2
248003_7952,20241111,2
248003_7954,20241225,1
248003_7954,20241226,1
248003_7954,20241101,1
248003_7954,20241111,1
273312_7952,20241225,2
273312_7952,20241226,2
273312_7952,20241101,2
273312_7952,20241111,2
273312_7954,20241225,1
273312_7954,20241226,1
273312_7954,20241101,1
273312_7954,20241111,1
273560_7952,20241225,2
273560_7952,20241226,2
273560_7952,20241101,2
273560_7952,20241111,2
273560_7954,20241225,1
273560_7954,20241226,1
273560_7954,20241101,1
273560_7954,20241111,1
269939_7952,20241225,2
269939_7952,20241226,2
269939_7952,20241101,2
269939_7952,20241111,2
269939_7954,20241225,1
269939_7954,20241226,1
269939_7954,20241101,1
269939_7954,20241111,1
245259_7952,20241225,2
245259_7952,20241226,2
245259_7952,20241101,2
245259_7952,20241111,2
245259_7954,20241225,1
245259_7954,20241226,1
245259_7954,20241101,1
245259_7954,20241111,1
273545_7952,20241225,2
273545_7952,20241226,2
273545_7952,20241101,2
273545_7952,20241111,2
273545_7954,20241225,1
273545_7954,20241226,1
273545_7954,20241101,1
273545_7954,20241111,1
273552_7952,20241225,2
273552_7952,20241226,2
273552_7952,20241101,2
273552_7952,20241111,2
273552_7954,20241225,1
273552_7954,20241226,1
273552_7954,20241101,1
273552_7954,20241111,1
273546_7952,20241225,2
273546_7952,20241226,2
273546_7952,20241101,2
273546_7952,20241111,2
273546_7954,20241225,1
273546_7954,20241226,1
273546_7954,20241101,1
273546_7954,20241111,1
273548_7952,20241225,2
273548_7952,20241226,2
273548_7952,20241101,2
273548_7952,20241111,2
273548_7954,20241225,1
273548_7954,20241226,1
273548_7954,20241101,1
273548_7954,20241111,1
273556_7952,20241225,2
273556_7952,20241226,2
273556_7952,20241101,2
273556_7952,20241111,2
273556_7954,20241225,1
273556_7954,20241226,1
273556_7954,20241101,1
273556_7954,20241111,1
273554_7952,20241225,2
273554_7952,20241226,2
273554_7952,20241101,2
273554_7952,20241111,2
273554_7954,20241225,1
273554_7954,20241226,1
273554_7954,20241101,1
273554_7954,20241111,1
