route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
79234,246,A1,,3,,
63794,246,A10,,3,,
63894,246,A11,,3,,
63891,246,A12,,3,,
63892,246,A13,,3,,
63796,246,A14,,3,,
63798,246,A15,,3,,
69187,246,A16,,3,,
69188,246,A17,,3,,
87151,246,A18,,3,,
69094,246,A2,,3,,
87152,246,A20,,3,,
79236,246,A21,,3,,
79238,246,A22,,3,,
79239,246,A23,,3,,
99887,246,A24,,3,,
79242,246,A25,,3,,
79244,246,A26,,3,,
99872,246,A27,,3,,
99873,246,A28,,3,,
99898,246,A29,,3,,
56959,246,A3,,3,,
99899,246,A30,,3,,
99876,246,A31,,3,,
99877,246,A32,,3,,
99900,246,A33,,3,,
99901,246,A34,,3,,
99902,246,A35,,3,,
110675,246,A36,,3,,
110676,246,A37,,3,,
110677,246,A38,,3,,
110678,246,A39,,3,,
56962,246,A4,,3,,
119333,246,A40,,3,,
110683,246,A43,,3,,
110682,246,A44,,3,,
113643,246,A45,,3,,
116314,246,A46,,3,,
56961,246,A5,,3,,
119329,246,A50,,3,,
56960,246,A6,,3,,
57141,246,A7,,3,,
74096,246,A8,,3,,
57143,246,A9,,3,,
