stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station
1586250,11758,Alwernia Garncarska,50.06989,19.542409,http://kolejemalopolskie.kiedyprzyjedzie.pl/11758,1,
1657838,3542,Alwernia Garncarska,50.069838,19.542352,http://kolejemalopolskie.kiedyprzyjedzie.pl/3542,0,1586250
1657839,3543,Alwernia Garncarska,50.069942,19.542465,http://kolejemalopolskie.kiedyprzyjedzie.pl/3543,0,1586250
1586251,11762,Alwernia Osiedle,50.059663,19.538094,http://kolejemalopolskie.kiedyprzyjedzie.pl/11762,1,
1657840,3544,Alwernia Osiedle,50.06039,19.539976,http://kolejemalopolskie.kiedyprzyjedzie.pl/3544,0,1586251
1657841,3545,Alwernia Osiedle,50.059694,19.537956,http://kolejemalopolskie.kiedyprzyjedzie.pl/3545,0,1586251
1586252,11761,Alwernia Skłodowskiej,50.064374,19.543228,http://kolejemalopolskie.kiedyprzyjedzie.pl/11761,1,
1657842,3546,Alwernia Skłodowskiej,50.063965,19.543266,http://kolejemalopolskie.kiedyprzyjedzie.pl/3546,0,1586252
1657843,3547,Alwernia Skłodowskiej,50.064783,19.543189,http://kolejemalopolskie.kiedyprzyjedzie.pl/3547,0,1586252
1586253,11729,Alwernia Spalona,50.05869,19.526697,http://kolejemalopolskie.kiedyprzyjedzie.pl/11729,1,
1657844,3548,Alwernia Spalona,50.058708,19.527522,http://kolejemalopolskie.kiedyprzyjedzie.pl/3548,0,1586253
1657845,3549,Alwernia Spalona,50.058672,19.525872,http://kolejemalopolskie.kiedyprzyjedzie.pl/3549,0,1586253
1586254,11728,Alwernia Zakłady Chemiczne,50.054831,19.523552,http://kolejemalopolskie.kiedyprzyjedzie.pl/11728,1,
1657846,3550,Alwernia Zakłady Chemiczne,50.054815,19.524088,http://kolejemalopolskie.kiedyprzyjedzie.pl/3550,0,1586254
1389894,11527,Andrychów Daszyńskiego,49.850414,19.344124,http://kolejemalopolskie.kiedyprzyjedzie.pl/11527,1,
1450714,3289,Andrychów Daszyńskiego,49.850414,19.344124,http://kolejemalopolskie.kiedyprzyjedzie.pl/3289,0,1389894
1389877,11506,Andrychów Dworzec Autobusowy,49.855656,19.350924,http://kolejemalopolskie.kiedyprzyjedzie.pl/11506,1,
1450689,3263,Andrychów Dworzec Autobusowy,49.855656,19.350924,http://kolejemalopolskie.kiedyprzyjedzie.pl/3263,0,1389877
1497418,11566,Andrychów Górnica,49.859888,19.322154,http://kolejemalopolskie.kiedyprzyjedzie.pl/11566,1,
1559097,3366,Andrychów Górnica,49.859223,19.323234,http://kolejemalopolskie.kiedyprzyjedzie.pl/3366,0,1497418
1559096,3367,Andrychów Górnica,49.860553,19.321074,http://kolejemalopolskie.kiedyprzyjedzie.pl/3367,0,1497418
1535417,11711,Andrychów Osiedle WSW,49.855766,19.335297,http://kolejemalopolskie.kiedyprzyjedzie.pl/11711,1,
1606208,5214,Andrychów Osiedle WSW,49.855766,19.335297,http://kolejemalopolskie.kiedyprzyjedzie.pl/5214,0,1535417
1606209,5215,Andrychów Osiedle WSW,49.856104,19.333246,http://kolejemalopolskie.kiedyprzyjedzie.pl/5215,0,1535417
1389879,11508,Andrychów Przedmieście,49.8626355,19.3390175,http://kolejemalopolskie.kiedyprzyjedzie.pl/11508,1,
1450691,3266,Andrychów Przedmieście,49.862314,19.338891,http://kolejemalopolskie.kiedyprzyjedzie.pl/3266,0,1389879
1450692,3267,Andrychów Przedmieście,49.862957,19.339144,http://kolejemalopolskie.kiedyprzyjedzie.pl/3267,0,1389879
1389893,11526,Andrychów ul. 1 Maja,49.853083,19.338739,http://kolejemalopolskie.kiedyprzyjedzie.pl/11526,1,
1450712,3287,Andrychów ul. 1 Maja,49.853083,19.338739,http://kolejemalopolskie.kiedyprzyjedzie.pl/3287,0,1389893
1389878,11507,Andrychów ul. Batorego,49.855803,19.338101,http://kolejemalopolskie.kiedyprzyjedzie.pl/11507,1,
1450690,3264,Andrychów ul. Batorego,49.855803,19.338101,http://kolejemalopolskie.kiedyprzyjedzie.pl/3264,0,1389878
1389882,11509,Andrychów ul. Krakowska,49.854957,19.34219,http://kolejemalopolskie.kiedyprzyjedzie.pl/11509,1,
1450694,3269,Andrychów ul. Krakowska,49.854957,19.34219,http://kolejemalopolskie.kiedyprzyjedzie.pl/3269,0,1389882
654084,10142,Baczków,50.039314,20.444075,http://kolejemalopolskie.kiedyprzyjedzie.pl/10142,1,
703791,454,Baczków,50.039115,20.443965,http://kolejemalopolskie.kiedyprzyjedzie.pl/454,0,654084
703792,455,Baczków,50.039513,20.444185,http://kolejemalopolskie.kiedyprzyjedzie.pl/455,0,654084
654078,10140,Baczków Leśniczówka,50.022163,20.4380615,http://kolejemalopolskie.kiedyprzyjedzie.pl/10140,1,
