from_stop_id,to_stop_id,transfer_type,min_transfer_time
80416,771543,2,83
80416,824492,2,83
80416,959801,2,229
80416,1014887,2,187
80416,1015443,2,272
80036,1062170,2,222
80036,1118688,2,127
80101,1450453,2,247
80101,1389750,2,62
80101,1450449,2,62
80101,1389774,2,131
80101,1450496,2,120
80101,1450497,2,142
78071,959734,2,171
78071,1014776,2,151
78071,1014777,2,192
78113,959722,2,100
78113,1014756,2,100
77461,1746981,2,224
77107,1211762,2,74
77701,771540,2,61
77701,824489,2,61
77701,771541,2,162
77701,824490,2,162
80333,258462,2,248
79525,690323,2,219
79525,741784,2,219
79657,654051,2,40
79657,703734,2,46
79657,703735,2,35
79657,654050,2,228
79657,703732,2,241
79657,703733,2,218
79657,688139,2,228
79657,739581,2,228
79657,703738,2,298
79806,654057,2,206
79806,703744,2,197
79806,703745,2,216
79806,654056,2,32
79806,703743,2,32
79806,1647821,2,97
79806,1717605,2,97
79806,1717606,2,72
79830,654063,2,13
79830,703754,2,13
79848,654068,2,45
79848,703763,2,45
80663,654071,2,32
80663,703767,2,32
80671,1295827,2,286
80671,1355051,2,286
80630,654070,2,80
80630,703766,2,80
80630,1389776,2,135
80630,1450499,2,135
80630,960005,2,229
80630,1015244,2,229
80630,960006,2,267
80630,1015245,2,267
241960,621282,2,40
241960,669722,2,40
241960,959812,2,239
241960,1014900,2,239
241960,959813,2,109
241960,1014901,2,106
241960,1014902,2,113
258462,80333,2,248
79384,1211763,2,47
79426,1211764,2,103
79459,1211767,2,177
79459,1746982,2,138
79467,1211768,2,40
64303,1746978,2,49
64352,1746979,2,107
64337,1211772,2,51
64337,1211773,2,53
64626,1211771,2,98
81901,959940,2,132
81901,1015142,2,132
81901,1389849,2,133
81901,1450637,2,133
81042,960012,2,105
81042,1015251,2,30
81042,1015252,2,203
81034,960041,2,93
81034,1015298,2,48
81034,1015299,2,162
81026,960046,2,198
81026,1015308,2,89
80986,960058,2,172
80986,1015329,2,172
80952,1252459,2,293
80952,1308466,2,293
80952,1252460,2,215
80952,1308467,2,215
178473,1252479,2,21
178473,1308500,2,21
81661,960084,2,190
81661,1015376,2,157
81661,1015377,2,223
79020,771697,2,41
79020,824788,2,41
78907,959806,2,39
78907,1014893,2,39
78907,959805,2,241
78907,1014891,2,240
78907,1014892,2,243
1586250,1657838,2,6
1586250,1657839,2,6
1657838,1586250,2,6
1657838,1657839,2,11
1657839,1586250,2,6
1657839,1657838,2,11
1586251,1657840,2,118
1586251,1657841,2,8
1657840,1586251,2,118
1657840,1657841,2,124
1657841,1586251,2,8
1657841,1657840,2,124
1586252,1657842,2,35
1586252,1657843,2,35
1657842,1586252,2,35
1657842,1657843,2,69
1657843,1586252,2,35
1657843,1657842,2,69
1586253,1657844,2,45
1586253,1657845,2,45
1657844,1586253,2,45
1657844,1657845,2,89
1657845,1586253,2,45
1657845,1657844,2,89
1586254,1657846,2,29
1657846,1586254,2,29
1389894,1450714,2,0
1450714,1389894,2,0
1389877,1450689,2,0
1450689,1389877,2,0
1497418,1559097,2,81
1497418,1559096,2,81
1559097,1497418,2,81
1559097,1559096,2,161
1559096,1497418,2,81
1559096,1559097,2,161
1535417,1606208,2,0
1535417,1606209,2,115
1535417,1389893,2,292
1535417,1450712,2,292
1535417,1389878,2,152
1535417,1450690,2,152
1606208,1535417,2,0
1606208,1606209,2,115
1606208,1389893,2,292
1606208,1450712,2,292
1606208,1389878,2,152
1606208,1450690,2,152
1606209,1535417,2,115
1606209,1606208,2,115
